station_id,station_name,borough,so_many,one_or_two,none,lines_served
17496,191 St,Manhattan,3,6,2,1
17700,Grant Av,Brooklyn,5,8,3,A
17879,Kings Hwy,Brooklyn,5,4,3,D N Q W
17549,116 St,Manhattan,10,13,9,2 3
17872,Bowery,Manhattan,9,6,6,J Z
20055,Kingston-Throop Avs,Brooklyn,18,9,11,A C
17699,Euclid Av,Brooklyn,19,25,20,A C
17725,Kingsbridge Rd,Bronx,11,15,12,B D
17921,Great Kills,Staten Island,8,9,8,SIR
17500,145 St,Manhattan,3,5,4,1
20017,137 St-City College,Manhattan,5,3,4,1
17506,96 St,Manhattan,32,51,42,1 2 3
17497,181 St,Manhattan,8,18,14,1
17546,149 St - Grand Concourse,Bronx,26,37,35,2 4 5
17632,28 St,Manhattan,4,14,10,4 6
17792,Woodhaven Blvd,Queens,8,21,17,E F M R
17724,Bedford Park Blvd,Bronx,2,27,18,B D
20058,Norwood-205 St,Bronx,4,12,10,D
17732,155 St,Manhattan,6,5,7,B D
17534,Allerton Av,Bronx,4,10,9,2 5
17593,161 St - Yankee Stadium,Bronx,24,43,44,4 B D
17564,Sterling St,Brooklyn,5,7,8,2 5
17728,Tremont Av,Bronx,8,11,13,B D
17757,169 St,Queens,11,12,16,E F
17692,Utica Av,Brooklyn,17,33,35,A C
20071,Grand Av-Newtown,Queens,7,21,20,E F M R
20159,3 Av-138 St,Bronx,11,3,10,6
17620,125 St,Manhattan,35,23,42,4 5 6
17664,175 St,Manhattan,5,6,8,A
17550,Central Park North (110 St),Manhattan,9,11,15,2 3
17668,135 St,Manhattan,0,8,6,A C B
17726,Fordham Rd,Bronx,11,13,18,B D
17727,182-183 Sts,Bronx,4,8,9,B D
20047,Vernon Blvd-Jackson Av,Queens,3,5,6,7
17758,Parsons Blvd,Queens,9,8,13,E F
17523,Chambers St,Manhattan,7,23,23,1 2 3
17547,135 St,Manhattan,7,11,14,2 3
17553,Wall St,Manhattan,5,13,14,2 3
17667,145 St,Manhattan,35,48,65,A C B D
17621,116 St,Manhattan,7,7,11,4 6
20026,Flatbush Av-Brooklyn College,Brooklyn,14,28,33,2 5
17730,170 St,Bronx,3,9,10,B D
17847,Montrose Av,Brooklyn,4,2,5,L
17906,53 St,Brooklyn,8,10,15,D N R W
20024,3 Av-149 St,Bronx,8,10,15,2 5
17567,Beverly Rd,Brooklyn,4,9,11,2 5
17647,Jackson Hts-Roosevelt Av / 74 St,Queens,73,102,148,7 E F M R
17495,Dyckman St,Manhattan,2,5,6,1
17729,174-175 Sts,Bronx,2,5,6,B D
17633,23 St,Manhattan,9,14,20,4 6
17760,Briarwood,Queens,4,5,8,E F
17846,Grand St,Brooklyn,2,7,8,L
20021,Christopher St-Sheridan Sq,Manhattan,7,2,8,1 2
17687,Lafayette Av,Brooklyn,4,6,9,A C
17685,Jay St - MetroTech,Brooklyn,48,86,121,A C F N Q R W
17623,103 St,Manhattan,6,6,11,4 6
17768,Bergen St,Brooklyn,1,11,11,F G
17741,Church Av,Brooklyn,6,20,24,B Q
20069,Forest Hills-71 Av,Queens,13,26,36,E F M R
20053,Hoyt-Schermerhorn Sts,Brooklyn,23,44,62,A C G
17731,167 St,Bronx,8,11,18,B D
17690,Nostrand Av,Brooklyn,9,15,23,A C
17765,Delancey St / Essex St,Manhattan,29,52,79,F M J Z
17516,23 St,Manhattan,5,5,10,1 2
17566,Church Av,Brooklyn,8,5,13,2 5
17592,167 St,Bronx,4,7,11,4
17600,Pelham Pkwy,Bronx,0,12,12,5
17618,Brook Av,Bronx,6,5,11,6
17689,Franklin Av,Brooklyn,12,14,26,A C S
17693,Ralph Av,Brooklyn,7,8,15,A C
17712,Fort Hamilton Pkwy,Brooklyn,2,3,5,D
17782,Kings Hwy,Brooklyn,4,5,9,F
17796,Northern Blvd,Queens,1,8,9,E F M R
17797,46 St,Queens,3,5,8,E F M R
17876,18 Av,Manhattan,1,6,7,D N Q W
17905,45 St,Brooklyn,5,12,17,D N R W
20072,Myrtle-Willoughby Avs,Brooklyn,0,7,7,G
17695,Broadway Junction,Brooklyn,103,121,225,A C J Z L
17669,125 St,Manhattan,19,33,55,A C B D
17908,Bay Ridge Av,Brooklyn,1,14,16,R
17843,1 Av,Manhattan,5,8,14,L
17499,157 St,Manhattan,9,3,13,1
17794,Elmhurst Av,Queens,6,6,13,E F M R
20063,Kew Gardens-Union Tpke,Queens,13,36,53,E F
17562,Franklin Av / Botanic Garden,Brooklyn,16,17,36,2 3 4 5 S
17670,116 St,Manhattan,3,8,12,A C B
17858,New Lots Av,Brooklyn,4,7,12,L
20089,Bay Ridge-95 St,Brooklyn,3,8,12,R
17850,DeKalb Av,Brooklyn,7,3,11,L
17790,67 Av,Queens,4,5,10,E F M R
17764,2 Av,Manhattan,10,16,29,F
17917,Prince's Bay,Staten Island,3,4,8,SIR
17801,21 St,Queens,3,3,7,G
17811,Fulton St,Brooklyn,1,11,14,G
17844,Bedford Av,Brooklyn,4,14,21,L
17930,Clifton,Staten Island,7,5,14,SIR
17809,Classon Av,Brooklyn,1,10,13,G
17615,E 149 St,Bronx,1,9,12,6
17762,75 Av,Queens,3,2,6,E F
